Date,Price,Open,High,Low,Vol.,Change %
08/10/2022,3.3757,3.321,3.3954,3.2178,26.81K,2.23%
08/09/2022,3.3022,3.1624,3.3215,3.1624,39.09K,4.48%
08/08/2022,3.1605,3.1795,3.2004,3.1167,34.58K,-0.79%
08/05/2022,3.1856,3.2593,3.2876,3.1522,34.17K,-3.44%
08/04/2022,3.2992,3.3794,3.406,3.2433,26.15K,-2.07%
08/03/2022,3.3691,3.3265,3.4553,3.3,27.30K,0.89%
08/02/2022,3.3395,3.3856,3.4031,3.2876,24.20K,-1.52%
08/01/2022,3.3909,3.5103,3.5103,3.3541,33.68K,-4.45%
07/29/2022,3.549,3.6361,3.7055,3.5302,41.36K,-1.79%
07/28/2022,3.6138,3.6512,3.7308,3.5711,43.22K,-0.82%
07/27/2022,3.6438,3.5323,3.6665,3.4983,40.54K,3.36%
07/26/2022,3.5255,3.4444,3.5591,3.4399,40.65K,1.90%
07/25/2022,3.4597,3.408,3.502,3.3288,53.20K,1.94%
07/22/2022,3.394,3.512,3.5851,3.3675,49.59K,-3.68%
07/21/2022,3.5236,3.5778,3.5778,3.3721,46.47K,-0.93%
07/20/2022,3.5565,3.573,3.6073,3.4724,37.18K,-0.34%
07/19/2022,3.5688,3.5638,3.6051,3.4571,37.32K,-0.54%
07/18/2022,3.5881,3.6267,3.6835,3.5397,34.82K,-0.80%
07/15/2022,3.6169,3.5676,3.656,3.5104,28.42K,1.50%
07/14/2022,3.5635,3.6092,3.6354,3.4198,32.14K,-0.50%
07/13/2022,3.5813,3.5572,3.654,3.5195,33.15K,0.40%
07/12/2022,3.5671,3.6713,3.6943,3.5002,31.24K,-3.17%
07/11/2022,3.6838,3.6082,3.7171,3.5465,37.35K,2.49%
07/08/2022,3.5943,3.6033,3.6237,3.4712,39.53K,0.01%
07/07/2022,3.5939,3.3607,3.6294,3.3094,41.56K,7.39%
07/06/2022,3.3466,3.5672,3.5989,3.2946,41.16K,-5.49%
07/05/2022,3.541,3.8699,3.907,3.5045,47.55K,-10.46%
07/04/2022,3.9546,3.9626,3.9856,3.8616,,-0.19%
07/03/2022,3.9623,3.9475,3.9678,3.9466,,2.62%
07/01/2022,3.8612,3.7914,3.9461,3.7433,30.70K,0.80%
06/30/2022,3.8305,3.9514,4.0016,3.7448,47.69K,-3.18%
06/29/2022,3.9563,4.1145,4.1579,3.9335,53.33K,-3.85%
06/28/2022,4.1147,4.16,4.221,3.9482,56.57K,-0.11%
06/27/2022,4.1192,4.2229,4.2585,4.1092,50.73K,-2.96%
06/24/2022,4.2448,4.208,4.2752,4.1769,38.79K,0.66%
06/23/2022,4.217,4.2495,4.3039,4.151,43.35K,-1.49%
06/22/2022,4.2808,4.2526,4.2904,4.0971,47.78K,1.17%
06/21/2022,4.2313,4.2123,4.4053,4.1799,50.93K,-5.71%
06/20/2022,4.4874,4.3819,4.4893,4.3111,,2.41%
06/19/2022,4.3819,4.3835,4.398,4.3793,,4.11%
06/17/2022,4.2091,4.4126,4.4898,4.1702,49.27K,-4.73%
06/16/2022,4.4181,4.3762,4.43,4.2764,33.68K,0.39%
06/15/2022,4.4008,4.262,4.4573,4.2256,47.08K,3.18%
06/14/2022,4.2653,4.1697,4.3361,4.143,38.11K,2.08%
06/13/2022,4.1785,4.2594,4.2675,4.0924,40.76K,-1.87%
06/10/2022,4.2582,4.3121,4.3993,4.2127,30.78K,-1.10%
06/09/2022,4.3056,4.2379,4.356,4.1633,44.52K,2.03%
06/08/2022,4.2198,4.2138,4.2471,4.1794,47.06K,0.29%
06/07/2022,4.2075,4.245,4.2675,4.14,48.68K,-0.51%
